Date,Open,High,Low,Close
08/25/2023,"1,648.30","1,673.02","1,635.29","1,649.52"
08/24/2023,"1,684.14","1,684.92","1,638.01","1,648.30"
08/23/2023,"1,630.60","1,696.98","1,590.61","1,684.34"
08/22/2023,"1,672.50","1,674.77","1,620.61","1,630.52"
08/21/2023,"1,688.98","1,689.79","1,651.18","1,672.50"
08/20/2023,"1,670.90","1,692.93","1,662.04","1,688.54"
08/19/2023,"1,656.97","1,693.38","1,653.89","1,671.39"
08/18/2023,"1,716.26","1,719.84","1,558.80","1,657.64"
08/17/2023,"1,807.93","1,813.43","1,708.20","1,715.99"
08/16/2023,"1,827.76","1,829.71","1,800.13","1,807.39"
08/15/2023,"1,843.10","1,845.22","1,813.02","1,827.97"
08/14/2023,"1,853.18","1,853.69","1,833.57","1,843.10"
08/13/2023,"1,846.59","1,860.09","1,845.43","1,853.18"
08/12/2023,"1,843.93","1,852.45","1,842.23","1,846.64"
08/11/2023,"1,848.25","1,855.00","1,837.33","1,843.93"
08/10/2023,"1,851.60","1,863.91","1,845.31","1,848.25"
08/09/2023,"1,863.42","1,873.65","1,845.45","1,851.60"
08/08/2023,"1,826.46","1,870.00","1,823.01","1,863.42"
08/07/2023,"1,829.41","1,843.09","1,803.02","1,825.17"
08/06/2023,"1,832.41","1,836.41","1,824.30","1,828.82"
08/05/2023,"1,819.84","1,836.34","1,819.60","1,832.41"
08/04/2023,"1,842.46","1,849.56","1,813.84","1,820.65"
08/03/2023,"1,841.24","1,856.95","1,824.08","1,843.43"
08/02/2023,"1,849.31","1,878.88","1,821.86","1,841.11"
08/01/2023,"1,853.07","1,863.76","1,819.82","1,849.42"
07/31/2023,"1,864.68","1,875.63","1,852.00","1,853.28"
07/30/2023,"1,885.00","1,885.72","1,850.45","1,864.68"
07/29/2023,"1,876.17","1,885.00","1,870.56","1,884.26"
07/28/2023,"1,858.85","1,881.56","1,854.95","1,876.17"
07/27/2023,"1,882.10","1,884.80","1,856.03","1,858.85"
07/26/2023,"1,861.74","1,886.65","1,848.56","1,882.11"
07/25/2023,"1,850.76","1,866.66","1,845.92","1,861.73"
07/24/2023,"1,892.00","1,893.42","1,832.51","1,850.79"
07/23/2023,"1,887.83","1,903.17","1,854.01","1,891.99"
07/22/2023,"1,894.77","1,896.69","1,883.31","1,888.50"
07/21/2023,"1,887.76","1,904.24","1,884.94","1,894.77"
07/20/2023,"1,897.75","1,927.00","1,879.50","1,887.27"
07/19/2023,"1,894.84","1,918.47","1,893.31","1,899.00"
07/18/2023,"1,890.35","1,919.69","1,880.27","1,894.84"
07/17/2023,"1,929.02","1,937.62","1,875.01","1,890.35"
07/16/2023,"1,931.84","1,943.05","1,916.35","1,928.67"
07/15/2023,"1,915.45","1,946.92","1,915.45","1,932.03"
07/14/2023,"1,983.80","2,027.41","1,900.63","1,916.38"
07/13/2023,"1,872.00","2,011.88","1,864.56","1,984.00"
07/12/2023,"1,874.62","1,901.01","1,867.58","1,871.99"
07/11/2023,"1,891.95","1,892.76","1,862.67","1,874.76"
07/10/2023,"1,869.18","1,904.53","1,848.85","1,891.95"
07/09/2023,"1,848.83","1,878.90","1,846.72","1,869.41"
07/08/2023,"1,865.99","1,871.82","1,844.22","1,848.98"
07/07/2023,"1,883.21","1,886.37","1,827.29","1,865.67"
07/06/2023,"1,910.07","1,955.37","1,866.79","1,883.21"
07/05/2023,"1,941.91","1,942.07","1,894.77","1,910.07"
07/04/2023,"1,958.04","1,965.93","1,931.79","1,941.90"
07/03/2023,"1,918.46","1,974.98","1,915.37","1,959.62"
07/02/2023,"1,923.46","1,927.35","1,893.76","1,918.45"
07/01/2023,"1,927.83","1,944.09","1,909.52","1,923.46"
06/30/2023,"1,849.91","1,945.61","1,826.44","1,927.83"
06/29/2023,"1,831.27","1,877.99","1,826.44","1,849.91"
06/28/2023,"1,891.64","1,897.41","1,823.99","1,831.27"
06/27/2023,"1,851.12","1,911.56","1,846.81","1,891.64"
06/26/2023,"1,893.59","1,906.41","1,840.81","1,852.34"
06/25/2023,"1,877.52","1,929.19","1,866.11","1,893.40"
06/24/2023,"1,907.06","1,907.06","1,868.22","1,876.83"
06/23/2023,"1,888.03","1,933.00","1,866.43","1,907.34"
06/22/2023,"1,879.14","1,929.47","1,867.39","1,888.03"
06/21/2023,"1,784.81","1,897.20","1,775.52","1,877.35"
06/20/2023,"1,731.73","1,789.46","1,715.00","1,787.30"
06/19/2023,"1,729.88","1,746.71","1,704.83","1,730.08"
06/18/2023,"1,728.19","1,747.69","1,720.10","1,729.94"
06/17/2023,"1,725.65","1,759.90","1,713.80","1,728.16"
06/16/2023,"1,668.99","1,726.00","1,651.31","1,725.64"
06/15/2023,"1,635.72","1,670.20","1,623.44","1,668.06"
06/14/2023,"1,737.58","1,749.72","1,635.44","1,639.49"
06/13/2023,"1,738.81","1,765.89","1,726.12","1,737.99"
06/12/2023,"1,770.53","1,771.60","1,722.16","1,739.10"
06/11/2023,"1,743.97","1,775.77","1,740.29","1,770.55"
06/10/2023,"1,836.08","1,844.40","1,719.63","1,744.18"
06/09/2023,"1,853.42","1,854.61","1,828.33","1,835.97"
06/08/2023,"1,841.54","1,861.27","1,821.42","1,853.42"
06/07/2023,"1,876.99","1,894.95","1,833.42","1,841.52"
06/06/2023,"1,804.97","1,896.00","1,796.90","1,876.99"
06/05/2023,"1,903.70","1,911.87","1,783.90","1,804.84"
06/04/2023,"1,888.01","1,910.92","1,884.92","1,904.47"
06/03/2023,"1,905.30","1,909.90","1,885.21","1,888.02"
06/02/2023,"1,869.22","1,910.28","1,851.85","1,905.58"
06/01/2023,"1,865.89","1,888.20","1,842.92","1,869.00"
05/31/2023,"1,904.12","1,913.71","1,848.89","1,865.88"
05/30/2023,"1,892.86","1,916.32","1,883.13","1,904.12"
05/29/2023,"1,854.70","1,926.74","1,854.69","1,893.48"
05/28/2023,"1,828.04","1,860.12","1,825.21","1,854.69"
05/27/2023,"1,835.35","1,836.33","1,818.00","1,827.72"
05/26/2023,"1,810.00","1,838.20","1,797.75","1,835.42"
05/25/2023,"1,804.27","1,815.67","1,763.42","1,809.86"
05/24/2023,"1,854.85","1,856.40","1,778.31","1,804.97"
05/23/2023,"1,818.29","1,870.02","1,815.35","1,854.86"
05/22/2023,"1,806.09","1,826.47","1,791.93","1,818.16"
05/21/2023,"1,817.13","1,828.54","1,803.26","1,806.42"
05/20/2023,"1,812.42","1,829.00","1,807.64","1,817.13"
05/19/2023,"1,796.78","1,828.83","1,796.50","1,812.70"
05/18/2023,"1,826.20","1,831.73","1,773.78","1,796.79"
05/17/2023,"1,821.43","1,835.92","1,786.40","1,826.20"
05/16/2023,"1,826.27","1,831.00","1,796.99","1,821.41"
05/15/2023,"1,799.10","1,846.06","1,786.36","1,826.27"
05/14/2023,"1,804.25","1,823.86","1,790.98","1,799.10"
05/13/2023,"1,788.28","1,816.45","1,788.28","1,804.40"
05/12/2023,"1,796.09","1,800.45","1,741.08","1,788.28"
05/11/2023,"1,858.74","1,858.74","1,774.20","1,796.09"
05/10/2023,"1,848.64","1,888.97","1,792.57","1,858.80"
05/09/2023,"1,841.66","1,862.60","1,832.54","1,848.64"
05/08/2023,"1,913.16","1,923.66","1,813.10","1,840.91"
05/07/2023,"1,898.07","1,934.98","1,888.48","1,913.16"
05/06/2023,"1,990.71","2,018.49","1,868.65","1,898.07"
05/05/2023,"1,878.01","2,000.00","1,871.34","1,990.86"
05/04/2023,"1,874.03","1,917.00","1,868.26","1,878.06"
05/03/2023,"1,870.34","1,892.98","1,845.09","1,874.03"
05/02/2023,"1,808.25","1,880.85","1,808.25","1,870.08"
05/01/2023,"1,892.94","1,897.67","1,808.52","1,809.79"
04/30/2023,"1,904.53","1,938.70","1,881.39","1,892.35"
04/29/2023,"1,895.84","1,916.94","1,887.52","1,904.53"
04/28/2023,"1,919.62","1,925.00","1,875.22","1,895.84"
