Date,Open,High,Low,Close,Volume
08/25/2023,"321.47","325.36","318.80","322.98","21,684,100"
08/24/2023,"332.85","332.98","319.96","319.97","23,281,430"
08/23/2023,"323.82","329.20","323.46","327.00","21,166,381"
08/22/2023,"325.50","326.08","321.46","322.46","16,102,020"
08/21/2023,"317.93","322.77","317.04","321.88","24,039,961"
08/18/2023,"314.49","318.38","311.55","316.48","24,755,010"
08/17/2023,"320.54","321.87","316.21","316.88","21,257,160"
08/16/2023,"320.80","324.42","319.80","320.40","20,698,859"
08/15/2023,"323.00","325.09","320.90","321.86","16,966,289"
08/14/2023,"321.39","324.06","320.08","324.04","18,836,141"
08/11/2023,"320.26","322.41","319.21","321.01","24,355,490"
08/10/2023,"326.02","328.26","321.18","322.93","20,113,730"
08/09/2023,"326.47","327.11","321.05","322.23","22,373,270"
08/08/2023,"326.96","328.75","323.00","326.05","22,327,570"
08/07/2023,"328.37","331.11","327.52","330.11","17,741,529"
08/04/2023,"331.88","335.14","327.24","327.78","23,741,480"
08/03/2023,"326.00","329.88","325.95","326.66","18,360,350"
08/02/2023,"333.63","333.63","326.36","327.50","27,761,260"
08/01/2023,"335.19","338.54","333.70","336.34","18,381,250"
07/31/2023,"336.92","337.70","333.36","335.92","25,446,020"
07/28/2023,"333.67","340.01","333.17","338.37","28,484,869"
07/27/2023,"340.48","341.33","329.05","330.72","39,635,262"
07/26/2023,"341.44","344.67","333.11","337.77","58,383,699"
07/25/2023,"347.11","351.89","345.07","350.98","41,637,738"
07/24/2023,"345.85","346.92","342.31","345.11","26,719,211"
07/21/2023,"349.15","350.30","339.83","343.77","69,405,375"
07/20/2023,"353.57","357.97","345.37","346.87","33,778,398"
07/19/2023,"361.75","362.46","352.44","355.08","39,732,898"
07/18/2023,"345.83","366.78","342.17","359.49","64,872,711"
07/17/2023,"345.68","346.99","342.20","345.73","20,363,930"
07/14/2023,"347.59","351.43","344.31","345.24","28,352,730"
07/13/2023,"339.56","343.74","339.02","342.66","20,567,160"
07/12/2023,"336.60","341.65","335.67","337.20","29,995,260"
07/11/2023,"331.06","332.86","327.00","332.47","26,698,221"
07/10/2023,"334.60","335.23","327.59","331.83","32,791,449"
07/07/2023,"339.32","341.79","337.00","337.22","21,214,820"
07/06/2023,"337.30","342.99","335.50","341.27","28,195,529"
07/05/2023,"335.09","341.65","334.73","338.15","18,172,381"
07/03/2023,"339.19","340.90","336.57","337.99","12,484,240"
06/30/2023,"337.75","342.73","337.20","340.54","26,832,760"
06/29/2023,"334.71","336.11","332.62","335.05","16,997,039"
06/28/2023,"334.66","337.98","333.81","335.85","20,259,520"
06/27/2023,"331.86","336.15","329.30","334.57","24,354,109"
06/26/2023,"333.72","336.11","328.49","328.60","21,520,580"
06/23/2023,"334.36","337.96","333.45","335.02","23,146,900"
06/22/2023,"334.12","340.12","333.34","339.71","23,556,760"
06/21/2023,"336.37","337.73","332.07","333.56","25,117,801"
