Date,Open,High,Low,Close,Volume
08/25/2023,"148.61","150.75","146.27","149.09","11,769,070"
08/24/2023,"156.46","156.59","148.58","148.82","13,494,370"
08/23/2023,"149.35","153.22","148.86","152.77","8,347,747"
08/22/2023,"153.05","153.24","148.89","149.53","10,829,390"
08/21/2023,"147.18","151.24","146.96","151.04","8,109,155"
08/18/2023,"143.79","146.66","143.35","146.13","8,817,884"
08/17/2023,"147.77","147.80","145.03","145.51","7,397,207"
08/16/2023,"148.97","149.14","146.41","146.50","7,232,226"
08/15/2023,"150.55","151.09","148.65","148.85","7,596,608"
08/14/2023,"145.45","150.73","145.02","150.66","8,154,245"
08/11/2023,"148.01","148.12","146.04","146.21","11,182,270"
08/10/2023,"151.14","153.16","148.90","149.97","8,639,308"
08/09/2023,"153.17","153.32","149.73","150.30","8,827,135"
08/08/2023,"153.90","153.90","151.53","153.34","8,446,539"
08/07/2023,"155.50","156.14","154.37","155.91","5,701,417"
08/04/2023,"154.22","156.54","152.75","154.25","6,804,363"
08/03/2023,"152.48","155.19","152.16","154.19","6,695,690"
08/02/2023,"158.77","158.79","153.46","154.64","10,039,840"
08/01/2023,"159.67","160.89","158.95","160.53","4,596,966"
07/31/2023,"160.70","161.17","159.67","160.62","3,934,305"
07/28/2023,"160.16","161.04","158.83","160.50","7,321,149"
07/27/2023,"158.65","160.92","156.67","157.46","10,244,020"
07/26/2023,"155.02","155.88","152.95","154.68","6,110,042"
07/25/2023,"154.46","157.35","154.46","156.39","5,773,695"
07/24/2023,"153.99","154.54","152.90","153.92","4,362,531"
07/21/2023,"154.49","155.27","153.01","153.79","8,246,283"
07/20/2023,"155.64","156.41","152.29","152.97","14,823,250"
07/19/2023,"160.43","160.51","158.06","158.58","9,333,684"
07/18/2023,"159.12","160.79","157.62","160.26","6,272,862"
07/17/2023,"157.23","160.45","155.70","159.82","7,316,071"
07/14/2023,"158.69","160.70","156.20","156.90","7,565,581"
07/13/2023,"156.39","158.47","155.85","158.21","6,395,932"
07/12/2023,"153.53","154.68","152.90","154.50","6,484,145"
07/11/2023,"152.18","152.19","149.42","151.32","5,153,489"
07/10/2023,"149.58","151.41","149.35","151.16","6,415,512"
07/07/2023,"149.03","151.24","148.65","149.05","4,351,861"
07/06/2023,"148.34","149.08","147.16","148.91","4,775,622"
07/05/2023,"152.25","153.16","150.66","150.70","5,187,452"
07/03/2023,"153.17","154.07","152.25","153.60","2,826,703"
06/30/2023,"151.75","152.96","151.02","152.25","5,309,236"
06/29/2023,"150.82","150.96","148.91","149.92","4,225,874"
06/28/2023,"148.92","151.54","148.80","150.14","6,800,173"
06/27/2023,"147.43","151.80","146.96","151.51","6,459,360"
06/26/2023,"148.28","150.36","146.83","146.85","7,403,860"
06/23/2023,"147.75","148.45","146.96","147.53","5,963,465"
06/22/2023,"148.15","150.67","147.95","150.08","5,959,109"
06/21/2023,"152.04","152.47","148.73","149.34","5,911,651"
06/20/2023,"152.75","153.94","151.13","152.84","4,597,998"
06/16/2023,"155.80","155.94","153.17","153.38","6,583,153"
06/15/2023,"154.03","155.75","153.32","154.48","7,587,956"
06/14/2023,"152.81","155.74","152.03","155.60","7,123,411"
06/13/2023,"153.73","154.35","151.40","153.27","8,274,603"
06/12/2023,"148.51","151.45","148.40","151.18","7,634,040"
06/09/2023,"147.93","149.14","146.14","146.84","5,960,253"
06/08/2023,"144.64","146.58","144.33","146.17","5,377,204"
06/07/2023,"146.44","148.17","144.16","144.50","8,687,507"
06/06/2023,"143.50","146.17","142.98","145.33","5,815,057"
06/05/2023,"145.28","145.75","143.60","144.31","6,727,936"
06/02/2023,"147.89","148.18","145.29","146.14","6,765,033"
06/01/2023,"144.86","147.79","143.80","146.50","7,272,666"
05/31/2023,"145.74","147.34","144.08","144.33","10,728,720"
05/30/2023,"150.65","151.71","147.50","148.07","13,295,430"
05/26/2023,"141.79","148.33","141.78","147.36","12,978,760"
05/25/2023,"137.93","141.14","136.28","140.46","16,072,920"
05/24/2023,"128.73","129.65","127.95","129.34","7,897,087"
05/23/2023,"132.41","133.04","131.08","131.27","4,853,834"
05/22/2023,"132.15","133.61","131.97","133.19","4,235,142"
05/19/2023,"133.77","133.93","132.58","133.30","5,312,965"
05/18/2023,"130.10","134.31","130.10","134.04","9,632,610"
05/17/2023,"127.29","129.94","126.80","129.50","6,322,773"
05/16/2023,"125.71","127.42","125.71","126.09","5,126,398"
05/15/2023,"123.08","126.12","122.85","126.12","6,192,761"
05/12/2023,"123.47","123.89","121.81","122.90","3,364,892"
05/11/2023,"123.79","124.03","121.89","123.04","5,339,534"
05/10/2023,"124.44","125.04","122.97","124.14","5,474,872"
05/09/2023,"123.59","123.77","122.74","123.14","4,951,653"
05/08/2023,"123.98","125.15","123.37","125.07","3,918,938"
05/05/2023,"122.16","124.97","121.59","124.38","5,553,204"
05/04/2023,"121.65","122.82","120.94","121.81","5,889,236"
05/03/2023,"122.85","124.30","122.08","122.22","8,223,032"
05/02/2023,"124.53","125.18","122.50","123.49","6,717,686"
05/01/2023,"123.99","124.96","123.67","124.57","5,202,088"
04/28/2023,"122.25","123.63","121.78","123.63","7,553,466"
04/27/2023,"120.56","121.76","118.57","121.59","6,814,222"
04/26/2023,"120.81","121.62","119.85","120.43","7,695,312"
04/25/2023,"122.53","122.55","119.54","119.59","10,464,576"
04/24/2023,"123.90","124.68","122.72","123.51","4,489,098"
04/21/2023,"124.59","125.32","123.29","124.17","5,202,358"
04/20/2023,"124.50","127.28","124.41","125.46","5,879,700"
04/19/2023,"124.78","125.53","124.50","125.32","5,013,022"
04/18/2023,"127.10","127.91","125.56","126.52","5,703,642"
04/17/2023,"124.90","125.99","124.33","125.95","5,297,078"
04/14/2023,"126.11","127.48","124.66","126.04","4,901,284"
04/13/2023,"125.50","126.89","124.59","126.18","5,760,774"
04/12/2023,"128.53","128.76","125.07","125.17","7,748,904"
04/11/2023,"128.58","128.76","127.24","127.43","6,288,960"
04/10/2023,"125.05","128.18","124.85","128.11","5,991,296"
04/06/2023,"125.32","127.02","124.64","126.20","7,448,080"
04/05/2023,"127.52","127.72","125.22","126.58","10,065,976"
04/04/2023,"131.11","131.27","128.21","128.84","8,057,632"
04/03/2023,"130.93","131.42","129.31","130.85","8,036,492"
03/31/2023,"129.69","131.79","129.43","131.60","7,281,628"
03/30/2023,"130.17","131.52","129.79","130.69","7,807,068"
03/29/2023,"126.82","129.57","126.82","128.84","9,979,202"
03/28/2023,"125.33","125.56","123.22","124.95","7,771,404"
03/27/2023,"127.64","128.00","125.44","125.83","7,025,660"
03/24/2023,"128.60","128.81","126.01","127.31","11,042,914"
03/23/2023,"128.42","130.96","127.31","129.36","10,950,910"
03/22/2023,"127.01","130.44","126.01","126.01","8,938,034"
03/21/2023,"127.44","128.69","124.80","126.82","11,118,200"
03/20/2023,"125.50","126.79","124.35","126.42","6,521,364"
03/17/2023,"125.95","127.09","124.63","125.16","9,868,572"
03/16/2023,"120.27","125.99","119.89","125.80","14,746,404"
03/15/2023,"120.50","121.25","118.54","120.96","12,602,294"
03/14/2023,"120.70","123.00","120.49","122.34","11,314,508"
03/13/2023,"117.36","120.25","116.39","118.78","9,831,434"
03/10/2023,"121.24","121.93","118.26","118.86","13,168,186"
03/09/2023,"122.96","124.78","120.57","120.82","8,222,930"
03/08/2023,"120.66","123.27","120.41","123.18","8,112,884"
03/07/2023,"121.45","122.00","119.53","120.04","6,616,626"
03/06/2023,"122.82","123.92","121.14","121.39","6,485,374"
03/03/2023,"120.85","122.59","119.92","122.48","5,385,168"
03/02/2023,"118.18","121.37","117.35","120.84","6,530,442"
03/01/2023,"120.22","121.28","119.33","119.78","4,725,784"
02/28/2023,"119.30","121.30","119.10","119.70","4,770,542"
02/27/2023,"121.00","121.17","119.56","119.64","5,851,976"
02/24/2023,"118.85","119.69","118.22","119.11","6,208,188"
02/23/2023,"121.13","121.86","119.16","121.27","11,583,204"
02/22/2023,"117.92","118.86","116.55","117.12","6,987,618"
02/21/2023,"119.51","120.78","117.57","117.70","7,695,880"
02/17/2023,"122.20","122.58","120.30","121.39","7,574,898"
02/16/2023,"123.89","125.03","122.90","123.07","5,418,086"
02/15/2023,"124.84","126.57","123.78","126.50","7,125,120"
02/14/2023,"123.00","126.89","122.29","126.51","9,481,956"
02/13/2023,"122.53","124.17","121.64","123.84","4,030,360"
02/10/2023,"122.69","123.13","120.78","122.01","7,529,836"
02/09/2023,"125.84","127.30","123.18","124.09","8,767,106"
02/08/2023,"125.51","126.35","123.31","123.60","7,844,728"
02/07/2023,"122.78","126.64","122.50","126.07","10,309,114"
02/06/2023,"122.48","124.10","121.88","122.40","7,811,358"
02/03/2023,"124.13","127.15","123.73","124.47","7,489,646"
02/02/2023,"125.54","127.82","124.81","126.79","12,985,842"
02/01/2023,"119.18","125.31","118.88","124.14","15,518,598"
01/31/2023,"116.45","118.56","116.10","118.55","5,484,094"
01/30/2023,"117.89","118.87","116.68","116.78","8,049,958"
01/27/2023,"118.45","120.60","117.96","119.64","7,254,526"
01/26/2023,"119.85","120.52","117.96","120.43","7,196,364"
01/25/2023,"116.16","118.57","115.14","118.31","6,854,082"
01/24/2023,"117.45","119.13","117.45","118.19","7,328,630"
01/23/2023,"114.50","119.35","114.35","119.04","12,789,906"
01/20/2023,"111.13","113.69","110.39","113.68","5,709,700"
01/19/2023,"111.79","112.14","109.86","110.10","9,283,094"
01/18/2023,"114.58","115.53","112.80","112.86","9,374,614"
01/17/2023,"112.62","114.33","112.45","113.57","5,059,216"
01/13/2023,"111.29","112.96","110.91","112.90","4,264,468"
01/12/2023,"111.74","113.23","109.45","112.49","7,704,844"
01/11/2023,"109.42","110.83","108.60","110.83","5,737,052"
01/10/2023,"107.76","109.55","107.37","109.55","5,463,946"
01/09/2023,"107.79","110.36","107.23","108.14","11,422,664"
01/06/2023,"103.08","106.45","101.43","105.84","7,005,844"
01/05/2023,"102.01","102.87","101.34","101.40","5,936,418"
01/04/2023,"102.55","103.80","101.34","103.25","10,039,868"
01/03/2023,"103.29","103.39","100.05","100.69","4,472,474"
12/30/2022,"100.35","101.61","99.57","101.47","4,410,996"
12/29/2022,"100.22","102.20","99.87","101.87","8,302,008"
12/28/2022,"99.48","100.56","98.27","98.65","5,064,044"
12/27/2022,"101.04","101.17","99.66","99.92","4,636,158"
12/23/2022,"101.04","101.86","99.97","101.74","3,876,262"
12/22/2022,"103.99","103.99","99.73","101.75","9,552,326"
12/21/2022,"104.48","106.46","104.21","106.15","5,675,506"
12/20/2022,"103.18","104.67","103.00","103.83","4,510,092"
12/19/2022,"105.59","105.77","103.44","104.34","7,226,902"
12/16/2022,"107.15","108.10","105.84","106.79","8,276,248"
12/15/2022,"109.98","110.29","107.30","107.63","8,841,994"
12/14/2022,"113.53","114.86","110.78","111.89","7,518,964"
12/13/2022,"117.02","117.29","112.42","113.85","9,469,980"
12/12/2022,"109.39","112.05","109.06","111.98","6,827,672"
12/09/2022,"110.60","112.02","109.73","110.02","4,938,368"
12/08/2022,"108.57","111.17","107.94","110.91","7,260,014"
12/07/2022,"107.23","108.77","107.13","108.16","5,651,762"
12/06/2022,"110.51","110.61","107.28","108.18","6,089,920"
12/05/2022,"111.46","112.17","109.61","110.61","7,068,978"
12/02/2022,"110.70","112.33","110.13","111.94","8,204,276"
12/01/2022,"114.59","114.93","111.89","113.50","8,752,324"
11/30/2022,"108.07","113.87","107.22","113.87","12,688,248"
11/29/2022,"108.43","108.92","106.96","107.72","4,908,890"
11/28/2022,"109.25","110.58","107.42","108.02","7,853,686"
11/25/2022,"111.33","111.76","110.63","110.63","2,207,350"
11/23/2022,"110.96","113.04","110.79","111.94","5,779,932"
11/22/2022,"108.74","110.98","107.81","110.98","8,283,702"
11/21/2022,"108.35","108.67","107.38","107.84","5,071,636"
11/18/2022,"111.35","111.35","108.43","109.76","8,025,470"
11/17/2022,"106.61","110.08","106.38","109.56","9,019,762"
11/16/2022,"110.38","110.64","108.11","108.74","10,710,958"
11/15/2022,"114.26","114.64","111.38","112.80","11,456,548"
11/14/2022,"109.93","111.30","109.16","109.36","12,231,920"
11/11/2022,"107.26","110.91","106.45","110.40","12,646,464"
11/10/2022,"102.64","107.09","101.72","106.90","17,078,044"
11/09/2022,"98.37","98.70","96.83","96.99","8,639,930"
11/08/2022,"99.40","100.84","97.80","99.70","12,147,000"
11/07/2022,"96.26","97.86","95.20","97.59","10,213,838"
11/04/2022,"94.86","95.78","93.39","95.70","8,471,092"
11/03/2022,"91.13","93.05","90.20","91.45","11,461,258"
11/02/2022,"96.00","97.71","92.49","92.54","11,903,846"
11/01/2022,"96.65","96.88","94.85","95.27","4,670,036"
10/31/2022,"95.60","95.84","94.10","94.61","5,975,842"
10/28/2022,"93.07","96.53","92.91","96.39","9,214,950"
10/27/2022,"95.21","95.99","92.73","92.85","10,174,652"
10/26/2022,"93.38","96.18","92.78","94.02","9,898,272"
