vix.o,prev_vix.c,qqq.o,prev_qqq.c,aapl.o,prev_aapl.c,dji.o,prev_dji.c,dxy.o,prev_dxy.c,msft.o,prev_msft.c,smh.o,prev_smh.c,spy
17.21,17.2,362.07,361.22,177.38,176.38,34.0,34.0,104.1,103.98,321.47,319.97,148.61,148.82,1
15.57,15.98,372.64,369.11,180.67,181.12,34.0,34.0,103.36,103.56,332.85,327.0,156.46,152.77,0
16.64,16.97,364.58,363.38,178.52,177.23,34.0,34.0,103.58,103.3,323.82,322.46,149.35,149.53,1
16.96,17.13,366.55,363.9,177.06,175.84,34.0,34.0,103.33,103.3,325.5,321.88,153.05,151.04,0
17.8,17.89,355.26,358.58,172.3,174.0,34.0,34.0,103.4,103.57,314.49,316.88,143.79,145.51,1
16.96,16.78,363.96,362.54,177.14,176.57,34.0,34.0,103.48,103.43,320.54,320.4,147.77,146.5,0
16.54,16.46,365.87,366.42,177.13,177.45,34.0,34.0,103.21,103.21,320.8,321.86,148.97,148.85,0
14.95,14.82,369.36,370.35,178.88,179.46,35.0,35.0,103.15,103.19,323.0,324.04,150.55,150.66,0
15.53,15.85,365.99,368.59,177.32,177.97,35.0,35.0,102.62,102.52,320.26,322.93,148.01,149.97,1
15.58,15.96,370.97,367.91,179.48,178.19,35.0,35.0,102.48,102.49,326.02,322.23,151.14,150.3,0
15.81,15.99,372.29,372.0,180.87,179.8,35.0,35.0,102.55,102.53,326.47,326.05,153.17,153.34,0
16.28,15.77,372.64,375.19,179.69,178.85,35.0,35.0,102.07,102.05,326.96,330.11,153.9,155.91,1
16.01,15.92,375.75,373.79,185.52,191.17,35.0,35.0,102.45,102.54,331.88,326.66,154.22,154.19,0
16.77,16.09,371.94,374.39,191.57,192.58,35.0,35.0,102.59,102.59,326.0,327.5,152.48,154.64,1
15.7,13.93,379.26,382.79,195.04,195.61,35.0,35.0,101.96,102.3,333.63,336.34,158.77,160.53,0
13.75,13.63,382.31,383.68,196.24,196.45,35.0,35.0,101.87,101.86,335.19,335.92,159.67,160.62,1
14.03,14.41,380.74,376.62,194.67,193.22,35.0,35.0,101.69,101.77,333.67,330.72,160.16,157.46,1
13.14,13.19,383.07,377.52,196.02,194.5,35.0,35.0,101.11,100.89,340.48,337.77,158.65,154.68,0
13.86,13.86,377.72,378.78,193.67,193.62,35.0,35.0,101.32,101.35,341.44,350.98,155.02,156.39,1
14.02,13.91,376.95,376.23,193.33,192.75,35.0,35.0,101.42,101.35,347.11,345.11,154.46,153.92,1
13.87,13.99,379.18,376.76,194.1,193.13,35.0,35.0,100.78,100.88,349.15,346.87,154.49,152.97,0
13.96,13.76,382.61,385.65,195.09,195.1,35.0,35.0,100.28,100.28,353.57,355.08,155.64,158.58,0
13.32,13.3,386.82,385.74,193.1,193.73,34.0,34.0,99.98,99.94,361.75,359.49,160.43,160.26,1
13.61,13.48,381.96,382.61,193.35,193.99,34.0,34.0,99.89,99.84,345.83,345.73,159.12,159.82,1
13.72,13.61,379.59,379.15,190.23,190.54,34.0,34.0,99.75,99.77,347.59,342.66,158.69,158.21,0
13.44,13.54,376.05,372.82,190.5,189.77,34.0,34.0,100.52,100.52,339.56,337.2,156.39,154.5,1
14.82,14.84,372.34,368.17,189.68,188.08,34.0,34.0,101.59,101.73,336.6,332.47,153.53,151.32,0
15.02,15.07,366.79,366.36,189.16,188.61,34.0,33.0,101.94,101.97,331.06,331.83,152.18,151.16,1
15.97,15.44,367.23,367.46,191.41,191.81,33.0,33.0,103.08,103.17,339.32,341.27,149.03,148.91,0
14.85,14.18,366.51,370.28,189.84,191.33,34.0,34.0,103.35,103.37,337.3,338.15,148.34,150.7,1
13.51,13.54,367.55,363.81,191.63,189.59,34.0,34.0,103.35,103.34,337.75,335.05,151.75,149.92,1
13.64,13.43,364.24,364.54,189.08,189.25,33.0,33.0,102.96,102.91,334.71,335.85,150.82,150.14,1
13.9,13.74,361.98,363.83,187.93,188.06,33.0,33.0,102.51,102.49,334.66,334.57,148.92,151.51,1
14.11,14.25,359.25,357.68,185.89,185.27,33.0,33.0,102.74,102.69,331.86,328.6,147.43,146.85,1
13.24,12.91,362.21,366.17,185.55,187.0,33.0,33.0,102.38,102.39,334.36,339.71,147.75,150.08,1
13.88,13.2,360.63,361.9,183.74,183.96,33.0,33.0,102.03,102.07,334.12,333.56,148.15,149.34,1
13.88,13.88,365.74,366.9,184.9,185.01,33.0,34.0,102.5,102.54,336.37,338.05,152.04,152.84,0
14.49,14.5,372.72,370.26,186.73,186.01,34.0,34.0,102.12,102.12,351.32,348.1,155.8,154.48,0
14.09,13.88,364.61,365.9,183.96,183.95,33.0,33.0,102.96,102.95,337.48,337.34,154.03,155.6,1
14.48,14.61,363.27,363.26,183.37,183.31,34.0,34.0,103.32,103.34,334.34,334.29,152.81,153.27,1
14.99,15.01,363.29,360.49,182.8,183.79,34.0,34.0,103.58,103.65,334.47,331.85,153.73,151.18,1
13.78,13.65,354.63,353.15,181.5,180.57,33.0,33.0,103.3,103.34,324.99,325.26,147.93,146.17,0
14.14,13.94,349.12,348.82,177.9,177.82,33.0,33.0,104.07,104.1,323.94,323.38,144.64,144.5,1
14.14,13.96,355.13,354.84,178.44,179.21,33.0,33.0,104.12,104.13,331.65,333.68,146.44,145.33,0
14.91,14.73,354.28,354.9,179.97,179.58,33.0,33.0,104.01,104.0,335.33,335.94,143.5,144.31,1
15.65,15.65,353.8,352.01,181.03,180.09,33.0,33.0,103.56,103.56,334.25,332.58,147.89,146.5,1
17.24,17.94,347.73,347.99,177.7,177.25,32.0,32.0,104.15,104.33,325.93,328.39,144.86,144.33,1
18.04,17.46,348.37,349.98,177.33,177.3,32.0,33.0,104.05,104.17,332.29,331.21,145.74,148.07,0
19.07,19.14,340.76,339.72,173.32,172.99,32.0,32.0,104.23,104.25,324.02,325.92,141.79,140.46,1
19.54,20.03,339.14,331.65,172.41,171.84,32.0,32.0,103.86,103.89,323.24,313.85,137.93,129.34,0
18.8,18.53,331.37,333.36,171.09,171.56,33.0,33.0,103.54,103.49,314.73,315.26,128.73,131.27,0
17.35,17.21,335.89,337.64,173.13,174.2,33.0,33.0,103.27,103.2,320.03,321.18,132.41,133.19,0
16.13,16.05,337.49,337.27,176.39,175.05,33.0,33.0,103.51,103.58,316.74,318.52,133.77,134.04,0
16.92,16.87,331.52,331.12,173.0,172.69,33.0,33.0,102.91,102.88,314.53,314.0,130.1,129.5,1
17.96,17.99,328.24,327.16,171.71,172.07,33.0,33.0,102.61,102.56,312.29,311.74,127.29,126.09,1
17.54,17.12,326.06,326.79,171.99,172.07,33.0,33.0,102.43,102.43,309.83,309.46,125.71,126.12,0
16.83,16.93,326.74,326.2,173.62,173.75,33.0,33.0,102.1,102.06,310.55,310.11,123.47,123.04,0
16.8,16.94,325.7,325.14,173.85,173.56,33.0,33.0,101.41,101.48,310.1,312.31,123.79,124.14,1
17.58,17.71,324.12,321.64,173.02,171.77,33.0,33.0,101.62,101.61,308.62,307.0,124.44,123.14,0
17.29,16.98,322.0,323.69,173.05,173.5,33.0,33.0,101.4,101.38,308.0,308.65,123.59,125.07,0
19.5,20.09,318.47,316.17,170.98,165.79,33.0,33.0,101.34,101.4,305.72,305.41,122.16,121.81,1
19.17,18.34,317.06,317.29,164.89,167.45,33.0,33.0,101.2,101.34,306.24,304.4,121.65,122.22,0
17.82,17.78,319.75,319.38,169.5,168.54,33.0,33.0,101.86,101.96,306.62,305.41,122.85,123.49,0
16.27,16.08,322.12,322.19,170.09,169.59,34.0,34.0,102.15,102.15,307.76,305.56,124.53,124.57,0
17.21,17.03,320.11,320.35,168.49,168.41,33.0,33.0,101.47,101.5,304.01,304.83,122.25,121.59,1
18.43,18.84,315.7,311.87,165.19,163.76,33.0,33.0,101.4,101.47,295.97,295.37,120.56,120.43,1
18.66,18.76,313.44,309.99,163.06,163.77,33.0,33.0,101.82,101.86,296.7,275.42,120.81,119.59,0
17.62,16.89,314.29,315.95,165.19,165.33,33.0,33.0,101.26,101.35,279.51,281.77,122.53,123.51,0
17.51,17.17,315.91,316.28,165.05,166.65,33.0,33.0,101.8,101.84,285.01,286.11,124.59,125.46,1
16.85,16.46,315.69,318.71,166.09,167.63,33.0,33.0,101.99,101.97,285.25,288.45,124.5,125.32,1
17.3,16.83,316.41,318.86,165.8,166.47,33.0,33.0,101.71,101.75,285.99,288.37,124.78,126.52,1
16.94,16.95,320.99,318.84,166.1,165.23,33.0,33.0,102.1,102.1,291.57,288.8,127.1,125.95,0
17.94,17.8,317.59,319.17,164.59,165.56,33.0,34.0,101.0,101.01,287.0,289.84,126.11,126.18,0
18.83,19.09,314.83,313.04,161.63,160.1,33.0,33.0,101.47,101.5,283.59,283.49,125.5,125.17,1
19.38,19.1,317.82,315.83,161.22,160.8,33.0,33.0,102.13,102.2,284.79,282.83,128.53,127.43,0
19.08,18.97,317.83,317.87,162.35,162.03,33.0,33.0,102.52,102.58,285.75,289.39,128.58,128.11,0
19.3,19.08,314.24,315.92,162.43,163.76,33.0,33.0,101.83,101.85,283.21,284.34,125.32,126.58,1
19.42,19.0,318.1,319.07,164.74,165.63,33.0,33.0,101.52,101.59,285.85,287.18,127.52,128.84,0
18.79,18.55,320.6,320.15,166.6,166.17,33.0,33.0,102.01,102.09,287.23,287.23,131.11,130.85,0
19.21,19.02,315.91,315.68,162.44,162.36,32.0,32.0,102.2,102.14,283.73,284.05,129.69,130.69,1
19.12,19.12,315.24,312.72,161.53,160.77,32.0,32.0,102.62,102.64,284.23,280.51,130.17,128.84,0
19.39,19.97,310.88,307.12,159.37,157.65,32.0,32.0,102.49,102.43,278.96,275.23,126.82,124.95,1
20.53,20.6,308.17,308.76,157.97,158.28,32.0,32.0,102.75,102.86,275.79,276.38,125.33,125.83,0
22.11,22.61,309.32,309.75,158.86,158.93,32.0,32.0,102.6,102.53,277.24,277.66,128.6,129.36,1
21.54,22.26,309.92,306.12,158.83,157.83,32.0,32.0,102.5,102.35,277.94,272.29,128.42,126.01,0
21.8,21.38,310.27,310.34,159.3,159.28,32.0,32.0,103.2,103.26,273.4,273.78,127.01,126.82,0
24.16,24.15,307.94,305.97,157.32,157.4,32.0,32.0,103.31,103.28,274.88,272.23,127.44,126.42,1
22.92,22.99,306.72,306.81,156.08,155.85,32.0,32.0,104.41,104.42,278.26,276.2,125.95,125.8,0
26.19,26.14,298.0,298.93,152.16,152.99,31.0,31.0,104.62,104.65,265.21,265.44,120.27,120.96,1
23.21,23.73,294.71,297.37,151.19,152.59,31.0,32.0,103.74,103.6,259.98,260.79,120.5,122.34,1
26.85,26.52,294.31,290.69,151.28,150.47,32.0,31.0,103.67,103.6,256.75,253.92,120.7,118.78,1
23.34,22.61,292.83,292.66,150.21,150.59,32.0,32.0,105.13,105.31,251.08,252.32,121.24,120.82,0
